sep=,
Size,Average operations
7895,1.1856e+05
7900,1.1885e+05
7905,1.1665e+05
7910,1.1923e+05
7915,1.201e+05
7920,1.2187e+05
7925,1.1901e+05
7930,1.1902e+05
7935,1.2065e+05
7940,1.2128e+05
7945,1.187e+05
7950,1.1772e+05
7955,1.1754e+05
7960,1.2032e+05
7965,1.1973e+05
7970,1.2181e+05
7975,1.2067e+05
7980,1.1996e+05
7985,1.2226e+05
7990,1.21e+05
7995,1.2109e+05
8000,1.2083e+05
8005,1.1902e+05
8010,1.2338e+05
8015,1.225e+05
8020,1.2065e+05
8025,1.1913e+05
8030,1.2121e+05
8035,1.1879e+05
8040,1.2051e+05
8045,1.233e+05
8050,1.2118e+05
8055,1.2484e+05
8060,1.2211e+05
8065,1.2446e+05
8070,1.2024e+05
8075,1.2224e+05
8080,1.2294e+05
8085,1.2302e+05
8090,1.2109e+05
8095,1.232e+05
8100,1.2399e+05
8105,1.216e+05
8110,1.2498e+05
8115,1.2359e+05
8120,1.2208e+05
8125,1.2348e+05
8130,1.2528e+05
8135,1.2574e+05
8140,1.2474e+05
8145,1.2233e+05
8150,1.2268e+05
8155,1.2340e+05
8160,1.2440e+05
8165,1.2205e+05
8170,1.252e+05
8175,1.2196e+05
8180,1.2409e+05
8185,1.2334e+05
8190,1.2669e+05
8195,1.245e+05
8200,1.2593e+05
8205,1.2205e+05
8210,1.2311e+05
8215,1.2463e+05
8220,1.2228e+05
8225,1.2337e+05
8230,1.2385e+05
8235,1.239e+05
8240,1.2484e+05
8245,1.2428e+05
8250,1.2555e+05
8255,1.2711e+05
8260,1.2541e+05
8265,1.2488e+05
8270,1.2528e+05
8275,1.2692e+05
8280,1.2696e+05
8285,1.2111e+05
8290,1.2276e+05
8295,1.2683e+05
8300,1.2666e+05
8305,1.2699e+05
8310,1.2919e+05
8315,1.2681e+05
8320,1.2485e+05
8325,1.2948e+05
8330,1.2759e+05
8335,1.2789e+05
8340,1.2584e+05
8345,1.2589e+05
8350,1.2798e+05
8355,1.2627e+05
8360,1.2704e+05
8365,1.247e+05
8370,1.2955e+05
8375,1.2865e+05
8380,1.2648e+05
8385,1.2677e+05
8390,1.2606e+05
8395,1.2922e+05
8400,1.2996e+05
8405,1.289e+05
8410,1.329e+05
8415,1.2812e+05
8420,1.281e+05
8425,1.2754e+05
8430,1.3087e+05
8435,1.2952e+05
8440,1.2672e+05
8445,1.2723e+05
8450,1.2902e+05
8455,1.2722e+05
8460,1.287e+05
8465,1.2904e+05
8470,1.305e+05
8475,1.2915e+05
8480,1.2858e+05
8485,1.2732e+05
8490,1.299e+05
8495,1.2925e+05
8500,1.2669e+05
8505,1.3146e+05
8510,1.2797e+05
8515,1.2789e+05
8520,1.2913e+05
8525,1.2821e+05
8530,1.2972e+05
8535,1.303e+05
8540,1.289e+05
8545,1.309e+05
8550,1.3411e+05
8555,1.2976e+05
8560,1.2884e+05
8565,1.3143e+05
8570,1.3155e+05
8575,1.3091e+05
8580,1.3062e+05
8585,1.2909e+05
8590,1.3436e+05
8595,1.3026e+05
8600,1.309e+05
8605,1.3304e+05
8610,1.2979e+05
8615,1.3197e+05
8620,1.3239e+05
8625,1.2985e+05
8630,1.2936e+05
8635,1.301e+05
8640,1.3523e+05
8645,1.3228e+05
8650,1.3221e+05
8655,1.3236e+05
8660,1.3437e+05
8665,1.3144e+05
8670,1.3367e+05
8675,1.3127e+05
8680,1.3443e+05
8685,1.319e+05
8690,1.332e+05
8695,1.3024e+05
8700,1.3389e+05
8705,1.3275e+05
8710,1.32e+05
8715,1.3259e+05
8720,1.3495e+05
8725,1.3376e+05
8730,1.3113e+05
8735,1.3541e+05
8740,1.319e+05
8745,1.3171e+05
8750,1.3703e+05
8755,1.341e+05
8760,1.3273e+05
8765,1.3667e+05
8770,1.3615e+05
8775,1.3714e+05
8780,1.3552e+05
8785,1.335e+05
8790,1.3276e+05
8795,1.3446e+05
